date,variable,value,Gender,AgeRange
1964-11-01,men_20_24_rate,7.3,Men,20-24
1964-12-01,men_20_24_rate,7.2,Men,20-24
1965-01-01,men_20_24_rate,7.5,Men,20-24
1965-02-01,men_20_24_rate,7.1,Men,20-24
1965-03-01,men_20_24_rate,6.6,Men,20-24
1965-04-01,men_20_24_rate,7.4,Men,20-24
1965-05-01,men_20_24_rate,6.8,Men,20-24
1965-06-01,men_20_24_rate,6.6,Men,20-24
1965-07-01,men_20_24_rate,5.9,Men,20-24
1965-08-01,men_20_24_rate,5.6,Men,20-24
1965-09-01,men_20_24_rate,5.9,Men,20-24
1965-10-01,men_20_24_rate,5.3,Men,20-24
1965-11-01,men_20_24_rate,5.4,Men,20-24
1965-12-01,men_20_24_rate,5.3,Men,20-24
1966-01-01,men_20_24_rate,4.4,Men,20-24
1966-02-01,men_20_24_rate,4.5,Men,20-24
1966-03-01,men_20_24_rate,5.2,Men,20-24
1966-04-01,men_20_24_rate,4.7,Men,20-24
1966-05-01,men_20_24_rate,4.8,Men,20-24
1966-06-01,men_20_24_rate,4.7,Men,20-24
1966-07-01,men_20_24_rate,3.6,Men,20-24
1966-08-01,men_20_24_rate,4.6,Men,20-24
1966-09-01,men_20_24_rate,4.2,Men,20-24
1966-10-01,men_20_24_rate,4.0,Men,20-24
1966-11-01,men_20_24_rate,4.7,Men,20-24
1966-12-01,men_20_24_rate,5.5,Men,20-24
1967-01-01,men_20_24_rate,4.6,Men,20-24
1967-02-01,men_20_24_rate,3.5,Men,20-24
1967-03-01,men_20_24_rate,4.4,Men,20-24
1967-04-01,men_20_24_rate,4.4,Men,20-24
1967-05-01,men_20_24_rate,4.8,Men,20-24
1967-06-01,men_20_24_rate,4.8,Men,20-24
1967-07-01,men_20_24_rate,4.8,Men,20-24
1967-08-01,men_20_24_rate,5.0,Men,20-24
1967-09-01,men_20_24_rate,4.6,Men,20-24
1967-10-01,men_20_24_rate,4.5,Men,20-24
1967-11-01,men_20_24_rate,5.2,Men,20-24
1967-12-01,men_20_24_rate,5.3,Men,20-24
1968-01-01,men_20_24_rate,4.9,Men,20-24
1968-02-01,men_20_24_rate,5.3,Men,20-24
1968-03-01,men_20_24_rate,5.5,Men,20-24
1968-04-01,men_20_24_rate,5.2,Men,20-24
1968-05-01,men_20_24_rate,5.1,Men,20-24
1968-06-01,men_20_24_rate,5.5,Men,20-24
1968-07-01,men_20_24_rate,4.7,Men,20-24
1968-08-01,men_20_24_rate,5.5,Men,20-24
1968-09-01,men_20_24_rate,4.8,Men,20-24
1968-10-01,men_20_24_rate,5.0,Men,20-24
1968-11-01,men_20_24_rate,4.8,Men,20-24
1968-12-01,men_20_24_rate,4.6,Men,20-24
1969-01-01,men_20_24_rate,5.0,Men,20-24
1969-02-01,men_20_24_rate,4.8,Men,20-24
1969-03-01,men_20_24_rate,4.7,Men,20-24
1969-04-01,men_20_24_rate,4.7,Men,20-24
1969-05-01,men_20_24_rate,4.8,Men,20-24
1969-06-01,men_20_24_rate,5.1,Men,20-24
1969-07-01,men_20_24_rate,5.2,Men,20-24
1969-08-01,men_20_24_rate,4.7,Men,20-24
1969-09-01,men_20_24_rate,5.9,Men,20-24
1969-10-01,men_20_24_rate,5.6,Men,20-24
1969-11-01,men_20_24_rate,5.3,Men,20-24
1969-12-01,men_20_24_rate,5.7,Men,20-24
1970-01-01,men_20_24_rate,6.1,Men,20-24
1970-02-01,men_20_24_rate,7.0,Men,20-24
1970-03-01,men_20_24_rate,6.7,Men,20-24
1970-04-01,men_20_24_rate,7.5,Men,20-24
1970-05-01,men_20_24_rate,7.6,Men,20-24
1970-06-01,men_20_24_rate,7.8,Men,20-24
1970-07-01,men_20_24_rate,8.9,Men,20-24
1970-08-01,men_20_24_rate,8.8,Men,20-24
1970-09-01,men_20_24_rate,10.1,Men,20-24
1970-10-01,men_20_24_rate,10.3,Men,20-24
1970-11-01,men_20_24_rate,10.4,Men,20-24
1970-12-01,men_20_24_rate,10.7,Men,20-24
1971-01-01,men_20_24_rate,10.3,Men,20-24
1971-02-01,men_20_24_rate,10.1,Men,20-24
1971-03-01,men_20_24_rate,10.1,Men,20-24
1971-04-01,men_20_24_rate,9.9,Men,20-24
1971-05-01,men_20_24_rate,10.6,Men,20-24
1971-06-01,men_20_24_rate,10.5,Men,20-24
1971-07-01,men_20_24_rate,10.1,Men,20-24
1971-08-01,men_20_24_rate,10.7,Men,20-24
1971-09-01,men_20_24_rate,10.3,Men,20-24
1971-10-01,men_20_24_rate,9.9,Men,20-24
1971-11-01,men_20_24_rate,10.7,Men,20-24
1971-12-01,men_20_24_rate,10.4,Men,20-24
1972-01-01,men_20_24_rate,10.3,Men,20-24
1972-02-01,men_20_24_rate,9.5,Men,20-24
1972-03-01,men_20_24_rate,10.3,Men,20-24
1972-04-01,men_20_24_rate,10.1,Men,20-24
1972-05-01,men_20_24_rate,9.1,Men,20-24
1972-06-01,men_20_24_rate,8.9,Men,20-24
1972-07-01,men_20_24_rate,9.5,Men,20-24
1972-08-01,men_20_24_rate,8.7,Men,20-24
1972-09-01,men_20_24_rate,8.7,Men,20-24
1972-10-01,men_20_24_rate,9.3,Men,20-24
1972-11-01,men_20_24_rate,8.6,Men,20-24
1972-12-01,men_20_24_rate,8.3,Men,20-24
1973-01-01,men_20_24_rate,7.7,Men,20-24
1973-02-01,men_20_24_rate,7.7,Men,20-24
1973-03-01,men_20_24_rate,7.4,Men,20-24
1973-04-01,men_20_24_rate,7.7,Men,20-24
1973-05-01,men_20_24_rate,7.5,Men,20-24
1973-06-01,men_20_24_rate,7.6,Men,20-24
1973-07-01,men_20_24_rate,7.2,Men,20-24
1973-08-01,men_20_24_rate,7.3,Men,20-24
1973-09-01,men_20_24_rate,7.3,Men,20-24
1973-10-01,men_20_24_rate,6.7,Men,20-24
1973-11-01,men_20_24_rate,6.9,Men,20-24
1973-12-01,men_20_24_rate,7.0,Men,20-24
1974-01-01,men_20_24_rate,7.8,Men,20-24
1974-02-01,men_20_24_rate,8.2,Men,20-24
1974-03-01,men_20_24_rate,7.7,Men,20-24
1974-04-01,men_20_24_rate,7.7,Men,20-24
1974-05-01,men_20_24_rate,8.1,Men,20-24
1974-06-01,men_20_24_rate,8.3,Men,20-24
1974-07-01,men_20_24_rate,8.4,Men,20-24
1974-08-01,men_20_24_rate,9.4,Men,20-24
1974-09-01,men_20_24_rate,9.2,Men,20-24
1974-10-01,men_20_24_rate,9.5,Men,20-24
1974-11-01,men_20_24_rate,10.5,Men,20-24
1974-12-01,men_20_24_rate,11.3,Men,20-24
1975-01-01,men_20_24_rate,12.5,Men,20-24
1975-02-01,men_20_24_rate,13.3,Men,20-24
1975-03-01,men_20_24_rate,14.4,Men,20-24
1975-04-01,men_20_24_rate,15.5,Men,20-24
1975-05-01,men_20_24_rate,15.4,Men,20-24
1975-06-01,men_20_24_rate,14.3,Men,20-24
1975-07-01,men_20_24_rate,15.0,Men,20-24
1975-08-01,men_20_24_rate,14.4,Men,20-24
1975-09-01,men_20_24_rate,15.3,Men,20-24
1975-10-01,men_20_24_rate,14.6,Men,20-24
1975-11-01,men_20_24_rate,14.1,Men,20-24
1975-12-01,men_20_24_rate,13.2,Men,20-24
1976-01-01,men_20_24_rate,12.7,Men,20-24
1976-02-01,men_20_24_rate,11.9,Men,20-24
1976-03-01,men_20_24_rate,12.0,Men,20-24
1976-04-01,men_20_24_rate,11.7,Men,20-24
1976-05-01,men_20_24_rate,11.6,Men,20-24
1976-06-01,men_20_24_rate,12.3,Men,20-24
1976-07-01,men_20_24_rate,12.0,Men,20-24
1976-08-01,men_20_24_rate,11.9,Men,20-24
1976-09-01,men_20_24_rate,11.6,Men,20-24
1976-10-01,men_20_24_rate,12.5,Men,20-24
1976-11-01,men_20_24_rate,12.3,Men,20-24
1976-12-01,men_20_24_rate,12.5,Men,20-24
1977-01-01,men_20_24_rate,11.2,Men,20-24
1977-02-01,men_20_24_rate,12.0,Men,20-24
1977-03-01,men_20_24_rate,11.1,Men,20-24
1977-04-01,men_20_24_rate,11.1,Men,20-24
1977-05-01,men_20_24_rate,11.0,Men,20-24
1977-06-01,men_20_24_rate,10.8,Men,20-24
1977-07-01,men_20_24_rate,10.6,Men,20-24
1977-08-01,men_20_24_rate,11.3,Men,20-24
1977-09-01,men_20_24_rate,10.5,Men,20-24
1977-10-01,men_20_24_rate,9.9,Men,20-24
1977-11-01,men_20_24_rate,9.9,Men,20-24
1977-12-01,men_20_24_rate,9.7,Men,20-24
1978-01-01,men_20_24_rate,10.4,Men,20-24
1978-02-01,men_20_24_rate,10.3,Men,20-24
1978-03-01,men_20_24_rate,10.1,Men,20-24
1978-04-01,men_20_24_rate,9.5,Men,20-24
1978-05-01,men_20_24_rate,8.3,Men,20-24
1978-06-01,men_20_24_rate,8.7,Men,20-24
1978-07-01,men_20_24_rate,9.0,Men,20-24
1978-08-01,men_20_24_rate,8.8,Men,20-24
1978-09-01,men_20_24_rate,8.8,Men,20-24
1978-10-01,men_20_24_rate,8.5,Men,20-24
1978-11-01,men_20_24_rate,8.7,Men,20-24
1978-12-01,men_20_24_rate,9.0,Men,20-24
1979-01-01,men_20_24_rate,8.5,Men,20-24
1979-02-01,men_20_24_rate,8.5,Men,20-24
1979-03-01,men_20_24_rate,8.5,Men,20-24
1979-04-01,men_20_24_rate,8.1,Men,20-24
1979-05-01,men_20_24_rate,8.3,Men,20-24
1979-06-01,men_20_24_rate,8.4,Men,20-24
1979-07-01,men_20_24_rate,9.0,Men,20-24
1979-08-01,men_20_24_rate,8.9,Men,20-24
1979-09-01,men_20_24_rate,9.0,Men,20-24
1979-10-01,men_20_24_rate,9.3,Men,20-24
1979-11-01,men_20_24_rate,8.5,Men,20-24
1979-12-01,men_20_24_rate,9.9,Men,20-24
1980-01-01,men_20_24_rate,10.5,Men,20-24
1980-02-01,men_20_24_rate,10.4,Men,20-24
1980-03-01,men_20_24_rate,10.6,Men,20-24
1980-04-01,men_20_24_rate,12.2,Men,20-24
1980-05-01,men_20_24_rate,13.5,Men,20-24
1980-06-01,men_20_24_rate,13.6,Men,20-24
1980-07-01,men_20_24_rate,13.6,Men,20-24
1980-08-01,men_20_24_rate,13.8,Men,20-24
1980-09-01,men_20_24_rate,13.6,Men,20-24
1980-10-01,men_20_24_rate,13.7,Men,20-24
1980-11-01,men_20_24_rate,13.1,Men,20-24
1980-12-01,men_20_24_rate,12.2,Men,20-24
1981-01-01,men_20_24_rate,12.8,Men,20-24
1981-02-01,men_20_24_rate,12.8,Men,20-24
1981-03-01,men_20_24_rate,12.9,Men,20-24
1981-04-01,men_20_24_rate,12.9,Men,20-24
1981-05-01,men_20_24_rate,14.1,Men,20-24
1981-06-01,men_20_24_rate,13.0,Men,20-24
1981-07-01,men_20_24_rate,11.8,Men,20-24
1981-08-01,men_20_24_rate,13.0,Men,20-24
1981-09-01,men_20_24_rate,13.1,Men,20-24
1981-10-01,men_20_24_rate,13.7,Men,20-24
1981-11-01,men_20_24_rate,14.2,Men,20-24
1981-12-01,men_20_24_rate,14.6,Men,20-24
1982-01-01,men_20_24_rate,14.9,Men,20-24
1982-02-01,men_20_24_rate,15.3,Men,20-24
1982-03-01,men_20_24_rate,15.7,Men,20-24
1982-04-01,men_20_24_rate,15.9,Men,20-24
1982-05-01,men_20_24_rate,15.5,Men,20-24
1982-06-01,men_20_24_rate,16.0,Men,20-24
1982-07-01,men_20_24_rate,16.2,Men,20-24
1982-08-01,men_20_24_rate,16.5,Men,20-24
1982-09-01,men_20_24_rate,17.3,Men,20-24
1982-10-01,men_20_24_rate,17.5,Men,20-24
1982-11-01,men_20_24_rate,18.1,Men,20-24
1982-12-01,men_20_24_rate,17.9,Men,20-24
1983-01-01,men_20_24_rate,17.7,Men,20-24
1983-02-01,men_20_24_rate,17.7,Men,20-24
1983-03-01,men_20_24_rate,16.8,Men,20-24
1983-04-01,men_20_24_rate,17.0,Men,20-24
1983-05-01,men_20_24_rate,16.9,Men,20-24
1983-06-01,men_20_24_rate,15.8,Men,20-24
1983-07-01,men_20_24_rate,15.5,Men,20-24
1983-08-01,men_20_24_rate,15.8,Men,20-24
1983-09-01,men_20_24_rate,15.0,Men,20-24
1983-10-01,men_20_24_rate,14.9,Men,20-24
1983-11-01,men_20_24_rate,13.8,Men,20-24
1983-12-01,men_20_24_rate,13.3,Men,20-24
1984-01-01,men_20_24_rate,13.2,Men,20-24
1984-02-01,men_20_24_rate,12.2,Men,20-24
1984-03-01,men_20_24_rate,12.1,Men,20-24
1984-04-01,men_20_24_rate,12.6,Men,20-24
1984-05-01,men_20_24_rate,10.9,Men,20-24
1984-06-01,men_20_24_rate,11.3,Men,20-24
1984-07-01,men_20_24_rate,11.5,Men,20-24
1984-08-01,men_20_24_rate,12.4,Men,20-24
1984-09-01,men_20_24_rate,12.4,Men,20-24
1984-10-01,men_20_24_rate,11.2,Men,20-24
1984-11-01,men_20_24_rate,11.1,Men,20-24
1984-12-01,men_20_24_rate,11.6,Men,20-24
1985-01-01,men_20_24_rate,11.5,Men,20-24
1985-02-01,men_20_24_rate,11.8,Men,20-24
1985-03-01,men_20_24_rate,11.8,Men,20-24
1985-04-01,men_20_24_rate,11.3,Men,20-24
1985-05-01,men_20_24_rate,11.7,Men,20-24
1985-06-01,men_20_24_rate,11.7,Men,20-24
1985-07-01,men_20_24_rate,11.5,Men,20-24
1985-08-01,men_20_24_rate,11.1,Men,20-24
1985-09-01,men_20_24_rate,11.0,Men,20-24
1985-10-01,men_20_24_rate,11.3,Men,20-24
1985-11-01,men_20_24_rate,11.2,Men,20-24
1985-12-01,men_20_24_rate,10.7,Men,20-24
1986-01-01,men_20_24_rate,10.5,Men,20-24
1986-02-01,men_20_24_rate,10.7,Men,20-24
1986-03-01,men_20_24_rate,11.2,Men,20-24
1986-04-01,men_20_24_rate,11.6,Men,20-24
1986-05-01,men_20_24_rate,11.6,Men,20-24
1986-06-01,men_20_24_rate,10.9,Men,20-24
1986-07-01,men_20_24_rate,11.1,Men,20-24
1986-08-01,men_20_24_rate,10.6,Men,20-24
1986-09-01,men_20_24_rate,12.0,Men,20-24
1986-10-01,men_20_24_rate,10.6,Men,20-24
1986-11-01,men_20_24_rate,10.7,Men,20-24
1986-12-01,men_20_24_rate,11.1,Men,20-24
1987-01-01,men_20_24_rate,10.6,Men,20-24
1987-02-01,men_20_24_rate,11.0,Men,20-24
1987-03-01,men_20_24_rate,10.3,Men,20-24
1987-04-01,men_20_24_rate,10.3,Men,20-24
1987-05-01,men_20_24_rate,10.1,Men,20-24
1987-06-01,men_20_24_rate,10.6,Men,20-24
1987-07-01,men_20_24_rate,10.1,Men,20-24
1987-08-01,men_20_24_rate,9.5,Men,20-24
1987-09-01,men_20_24_rate,9.2,Men,20-24
1987-10-01,men_20_24_rate,9.0,Men,20-24
1987-11-01,men_20_24_rate,9.1,Men,20-24
1987-12-01,men_20_24_rate,8.7,Men,20-24
1988-01-01,men_20_24_rate,9.7,Men,20-24
1988-02-01,men_20_24_rate,9.1,Men,20-24
1988-03-01,men_20_24_rate,9.2,Men,20-24
1988-04-01,men_20_24_rate,8.9,Men,20-24
1988-05-01,men_20_24_rate,9.2,Men,20-24
1988-06-01,men_20_24_rate,8.3,Men,20-24
1988-07-01,men_20_24_rate,8.6,Men,20-24
1988-08-01,men_20_24_rate,8.9,Men,20-24
1988-09-01,men_20_24_rate,8.2,Men,20-24
1988-10-01,men_20_24_rate,9.0,Men,20-24
1988-11-01,men_20_24_rate,8.7,Men,20-24
1988-12-01,men_20_24_rate,8.7,Men,20-24
1989-01-01,men_20_24_rate,9.3,Men,20-24
1989-02-01,men_20_24_rate,8.3,Men,20-24
1989-03-01,men_20_24_rate,7.4,Men,20-24
1989-04-01,men_20_24_rate,8.2,Men,20-24
1989-05-01,men_20_24_rate,8.0,Men,20-24
1989-06-01,men_20_24_rate,8.9,Men,20-24
1989-07-01,men_20_24_rate,8.9,Men,20-24
1989-08-01,men_20_24_rate,9.6,Men,20-24
1989-09-01,men_20_24_rate,9.7,Men,20-24
1989-10-01,men_20_24_rate,9.2,Men,20-24
1989-11-01,men_20_24_rate,9.4,Men,20-24
1989-12-01,men_20_24_rate,9.5,Men,20-24
1990-01-01,men_20_24_rate,8.5,Men,20-24
1990-02-01,men_20_24_rate,8.5,Men,20-24
1990-03-01,men_20_24_rate,8.5,Men,20-24
1990-04-01,men_20_24_rate,9.2,Men,20-24
1990-05-01,men_20_24_rate,8.8,Men,20-24
1990-06-01,men_20_24_rate,8.9,Men,20-24
1990-07-01,men_20_24_rate,8.6,Men,20-24
1990-08-01,men_20_24_rate,9.1,Men,20-24
1990-09-01,men_20_24_rate,9.5,Men,20-24
1990-10-01,men_20_24_rate,9.8,Men,20-24
1990-11-01,men_20_24_rate,10.0,Men,20-24
1990-12-01,men_20_24_rate,10.1,Men,20-24
1991-01-01,men_20_24_rate,10.3,Men,20-24
